stock,sector,sub_sector,market_cap,beta
MSFT,Technology,Software - Infrastructure,3463484014592,1.073
AAPL,Technology,Consumer Electronics,3665126490112,1.093
A,Healthcare,Diagnostics & Research,38286733312,1.291
ACGL,Financial Services,Insurance - Diversified,34694557696,0.425
ABNB,Consumer Cyclical,Travel Services,80906936320,1.1
ABT,Healthcare,Medical Devices,186960101376,0.72
ABBV,Healthcare,Drug Manufacturers - General,387516727296,0.35
ADBE,Technology,Software - Application,126027907072,1.526
ADI,Technology,Semiconductors,149638299648,1.032
ACN,Technology,Information Technology Services,174302445568,1.249
ADP,Technology,Software - Application,104460427264,0.864
ADM,Consumer Defensive,Farm Products,32443262976,0.694
ADSK,Technology,Software - Application,57509998592,1.466
AEP,Utilities,Utilities - Regulated Electric,62428024832,0.615
AEE,Utilities,Utilities - Regulated Electric,27677038592,0.592
AFL,Financial Services,Insurance - Life,57275101184,0.664
AES,Utilities,Utilities - Diversified,10147723264,0.969
AIG,Financial Services,Insurance - Diversified,40065556480,0.624
AIZ,Financial Services,Insurance - Property & Casualty,11776675840,0.561
AJG,Financial Services,Insurance Brokers,65025593344,0.675
AKAM,Technology,Software - Infrastructure,13678706688,0.685
ALB,Basic Materials,Specialty Chemicals,22304860160,1.412
ALGN,Healthcare,Medical Instruments & Supplies,12230624256,1.833
ALLE,Industrials,Security & Protection Services,14350130176,1.05
ALL,Financial Services,Insurance - Property & Casualty,51027804160,0.24
AMCR,Consumer Cyclical,Packaging & Containers,20442834944,0.676
AMAT,Technology,Semiconductor Equipment & Materials,256821592064,1.671
AMD,Technology,Semiconductors,422769819648,1.95
AME,Industrials,Specialty Industrial Machinery,50980777984,1.047
AMGN,Healthcare,Drug Manufacturers - General,185641205760,0.45
AMP,Financial Services,Asset Management,46815260672,1.256
AMT,Real Estate,REIT - Specialty,83699908608,0.929
AMZN,Consumer Cyclical,Internet Retail,2556672081920,1.376
ANET,Technology,Computer Hardware,171690934272,1.414
AON,Financial Services,Insurance Brokers,73030574080,0.835
AOS,Industrials,Specialty Industrial Machinery,10153789440,1.349
APH,Technology,Electronic Components,184820154368,1.214
APA,Energy,Oil & Gas E&P,9230891008,0.743
APD,Basic Materials,Specialty Chemicals,58174357504,0.879
APO,Financial Services,Asset Management,79117402112,1.583
APP,Communication Services,Advertising Agencies,177381638144,2.502
APTV,Consumer Cyclical,Auto Parts,16652092416,1.502
ARE,Real Estate,REIT - Office,10190339072,1.319
ARES,Financial Services,Asset Management,51073400832,1.548
ATO,Utilities,Utilities - Regulated Gas,26743412736,0.761
AVB,Real Estate,REIT - Residential,25453813760,0.756
AVGO,Technology,Semiconductors,1517444530176,1.218
AWK,Utilities,Utilities - Regulated Water,25316431872,0.754
AXON,Industrials,Aerospace & Defense,48706166784,1.414
AVY,Consumer Cyclical,Packaging & Containers,14487475200,1.008
AXP,Financial Services,Credit Services,251693645824,1.154
AZO,Consumer Cyclical,Auto Parts,61540855808,0.42
BAC,Financial Services,Banks - Diversified,377685082112,1.295
BA,Industrials,Aerospace & Defense,197451399168,1.163
BALL,Consumer Cyclical,Packaging & Containers,15610461184,1.137
BAX,Healthcare,Medical Instruments & Supplies,10198866944,0.589
BBY,Consumer Cyclical,Specialty Retail,14087290880,1.433
BDX,Healthcare,Medical Instruments & Supplies,57594609664,0.262
BEN,Financial Services,Asset Management,13196397568,1.466
BF-B,Consumer Defensive,Beverages - Wineries & Distilleries,12770683904,0.414
BG,Consumer Defensive,Farm Products,21965813760,0.768
BKNG,Consumer Cyclical,Travel Services,165241798656,1.234
BK,Financial Services,Banks - Diversified,82015232000,1.109
BIIB,Healthcare,Drug Manufacturers - General,25172641792,0.127
BKR,Energy,Oil & Gas Equipment & Services,53206847488,0.887
BLDR,Industrials,Building Products & Equipment,13530640384,1.569
BLK,Financial Services,Asset Management,175306571776,1.484
BR,Technology,Information Technology Services,24225636352,0.994
BMY,Healthcare,Drug Manufacturers - General,111253905408,0.295
BRK-B,Financial Services,Insurance - Diversified,1033298640896,0.71
BRO,Financial Services,Insurance Brokers,27033698304,0.812
BSX,Healthcare,Medical Devices,137194160128,0.671
BX,Financial Services,Asset Management,184647811072,1.752
BXP,Real Estate,REIT - Office,11584954368,1.028
C,Financial Services,Banks - Diversified,203242733568,1.166
CAG,Consumer Defensive,Packaged Foods,8371465728,-0.014
CAH,Healthcare,Medical Distribution,49498173440,0.654
CARR,Industrials,Building Products & Equipment,48763609088,1.314
CAT,Industrials,Farm & Heavy Construction Machinery,293558255616,1.568
CB,Financial Services,Insurance - Property & Casualty,119969898496,0.513
CBOE,Financial Services,Financial Data & Stock Exchanges,28922697728,0.359
CCI,Real Estate,REIT - Specialty,37712482304,0.976
CBRE,Real Estate,Real Estate Services,50361659392,1.345
CCL,Consumer Cyclical,Travel Services,37473046528,2.516
CDNS,Technology,Software - Application,86739017728,1.022
CDW,Technology,Information Technology Services,16513653760,1.073
CEG,Utilities,Utilities - Independent Power Producers,104723570688,1.145
CF,Basic Materials,Agricultural Inputs,14963061760,0.681
CFG,Financial Services,Banks - Regional,26903013376,1.086
CHD,Consumer Defensive,Household & Personal Products,22516752384,0.46
CHRW,Industrials,Integrated Freight & Logistics,20870113280,0.913
CINF,Financial Services,Insurance - Property & Casualty,24555788288,0.673
CI,Healthcare,Healthcare Plans,74581532672,0.269
CHTR,Communication Services,Telecom Services,26183127040,1.058
CL,Consumer Defensive,Household & Personal Products,70040420352,0.298
CLX,Consumer Defensive,Household & Personal Products,13842333696,0.575
CME,Financial Services,Financial Data & Stock Exchanges,101646737408,0.291
CMG,Consumer Cyclical,Restaurants,54801969152,0.974
CMCSA,Communication Services,Telecom Services,115476119552,0.807
CMI,Industrials,Specialty Industrial Machinery,78926372864,1.116
CMS,Utilities,Utilities - Regulated Electric,21515407360,0.484
CNC,Healthcare,Healthcare Plans,22654064640,0.48
CNP,Utilities,Utilities - Regulated Electric,25318232064,0.584
COF,Financial Services,Credit Services,138144923648,1.131
COIN,Financial Services,Financial Data & Stock Exchanges,58502213632,3.707
COO,Healthcare,Medical Instruments & Supplies,16161177600,1.029
COR,Healthcare,Medical Distribution,68761083904,0.665
COP,Energy,Oil & Gas E&P,122833477632,0.328
COST,Consumer Defensive,Discount Stores,436521402368,1.008
CPB,Consumer Defensive,Packaged Foods,7987016704,-0.043
CPAY,Technology,Software - Infrastructure,22633322496,0.844
CPRT,Industrials,Specialty Business Services,40075931648,1.103
CPT,Real Estate,REIT - Residential,11525135360,0.824
CRH,Basic Materials,Building Materials,82117812224,1.198
CRM,Technology,Software - Application,217103597568,1.266
CRWD,Technology,Software - Infrastructure,114072018944,1.029
CRL,Healthcare,Diagnostics & Research,10808209408,1.616
CSCO,Technology,Communication Equipment,294712115200,0.863
CSGP,Real Estate,Real Estate Services,27802773504,0.841
CTRA,Energy,Oil & Gas E&P,20925298688,0.333
CSX,Industrials,Railroads,68307107840,1.303
CTSH,Technology,Information Technology Services,41113169920,0.954
CTAS,Industrials,Specialty Business Services,77544202240,0.972
CTVA,Basic Materials,Agricultural Inputs,48691470336,0.745
CVX,Energy,Oil & Gas Integrated,335911190528,0.687
CVNA,Consumer Cyclical,Auto & Truck Dealerships,102615236608,3.553
D,Utilities,Utilities - Regulated Electric,50893230080,0.699
CVS,Healthcare,Healthcare Plans,105375588352,0.484
DAL,Industrials,Airlines,44375347200,1.379
DASH,Consumer Cyclical,Internet Retail,89315819520,1.702
DAY,Technology,Software - Application,11109626880,1.181
DD,Basic Materials,Specialty Chemicals,18493571072,1.113
DE,Industrials,Farm & Heavy Construction Machinery,139448827904,1.01
DDOG,Technology,Software - Application,45632786432,1.263
DECK,Consumer Cyclical,Footwear & Accessories,14831369216,1.15
DG,Consumer Defensive,Discount Stores,32339863552,0.262
DELL,Technology,Computer Hardware,77361209344,1.112
DGX,Healthcare,Diagnostics & Research,20242280448,0.64
DHI,Consumer Cyclical,Residential Construction,43813392384,1.42
DHR,Healthcare,Diagnostics & Research,168279277568,0.929
DIS,Communication Services,Entertainment,198131367936,1.442
DLR,Real Estate,REIT - Specialty,55658975232,1.125
DLTR,Consumer Defensive,Discount Stores,26295533568,0.749
DOV,Industrials,Specialty Industrial Machinery,28350941184,1.305
DOC,Real Estate,REIT - Healthcare Facilities,12564692992,1.1
DOW,Basic Materials,Chemicals,20079177728,0.776
DPZ,Consumer Cyclical,Restaurants,13969980416,1.158
DTE,Utilities,Utilities - Regulated Electric,27898058752,0.484
DRI,Consumer Cyclical,Restaurants,23980406784,0.636
DVA,Healthcare,Medical Care Facilities,7730579968,0.99
DUK,Utilities,Utilities - Regulated Electric,91320762368,0.49
DVN,Energy,Oil & Gas E&P,24528670720,0.655
DXCM,Healthcare,Medical Devices,28572432384,1.483
EA,Communication Services,Electronic Gaming & Multimedia,51021651968,0.733
EBAY,Consumer Cyclical,Internet Retail,42779770880,1.348
ECL,Basic Materials,Specialty Chemicals,79953854464,0.999
ED,Utilities,Utilities - Regulated Electric,37490384896,0.379
EFX,Industrials,Consulting Services,25839417344,1.558
EIX,Utilities,Utilities - Regulated Electric,23386363904,0.829
EG,Financial Services,Insurance - Reinsurance,13582839808,0.369
ELV,Healthcare,Healthcare Plans,83554664448,0.518
EL,Consumer Defensive,Household & Personal Products,42410799104,1.146
EME,Industrials,Engineering & Construction,31076911104,1.174
EOG,Energy,Oil & Gas E&P,59147468800,0.501
EMR,Industrials,Specialty Industrial Machinery,83040763904,1.254
EPAM,Technology,Information Technology Services,12153623552,1.727
EQIX,Real Estate,REIT - Specialty,77691699200,1.036
EQR,Real Estate,REIT - Residential,24436256768,0.756
ERIE,Financial Services,Insurance Brokers,14424160256,0.373
EQT,Energy,Oil & Gas E&P,34648412160,0.681
ESS,Real Estate,REIT - Residential,17548916736,0.741
ES,Utilities,Utilities - Regulated Electric,26105661440,0.772
ETN,Industrials,Specialty Industrial Machinery,128943947776,1.19
EVRG,Utilities,Utilities - Regulated Electric,17424908288,0.646
ETR,Utilities,Utilities - Regulated Electric,41618366464,0.648
EW,Healthcare,Medical Devices,49116790784,0.955
EXC,Utilities,Utilities - Regulated Electric,44500041728,0.556
EXE,Energy,Oil & Gas E&P,26077200384,0.449
EXPE,Consumer Cyclical,Travel Services,33544245248,1.429
EXPD,Industrials,Integrated Freight & Logistics,21607747584,1.136
FANG,Energy,Oil & Gas E&P,44586651648,0.577
EXR,Real Estate,REIT - Industrial,31361038336,1.273
F,Consumer Cyclical,Auto Manufacturers,54029803520,1.631
FCX,Basic Materials,Copper,86744571904,1.452
FAST,Industrials,Industrial Distribution,50388242432,0.895
FDS,Financial Services,Financial Data & Stock Exchanges,10727546880,0.743
FE,Utilities,Utilities - Regulated Electric,26896107520,0.626
FDX,Industrials,Integrated Freight & Logistics,71780007936,1.357
FICO,Technology,Software - Application,37078204416,1.293
FFIV,Technology,Software - Infrastructure,15060314112,0.975
FIS,Technology,Information Technology Services,31603904512,0.939
FITB,Financial Services,Banks - Regional,33549189120,0.988
FIX,Industrials,Engineering & Construction,39566028800,1.664
FOX,Communication Services,Entertainment,30858907648,0.505
FOXA,Communication Services,Entertainment,32354543616,0.505
FRT,Real Estate,REIT - Retail,8833558528,1.027
FSLR,Technology,Solar,25984665600,1.597
FTNT,Technology,Software - Infrastructure,62557958144,1.069
GD,Industrials,Aerospace & Defense,98126651392,0.414
FTV,Technology,Scientific & Technical Instruments,18469781504,1.042
GEHC,Healthcare,Medical Devices,36419952640,1.229
GDDY,Technology,Software - Infrastructure,14357163008,0.948
GE,Industrials,Aerospace & Defense,309978136576,1.403
GEN,Technology,Software - Infrastructure,15670756352,1.084
GILD,Healthcare,Drug Manufacturers - General,168662876160,0.349
GIS,Consumer Defensive,Packaged Foods,23776417792,-0.068
GLW,Technology,Electronic Components,79991726080,1.125
GL,Financial Services,Insurance - Life,11056983040,0.476
GM,Consumer Cyclical,Auto Manufacturers,75861557248,1.317
GNRC,Industrials,Specialty Industrial Machinery,10152929280,1.828
GOOG,Communication Services,Internet Content & Information,3964752101376,1.086
GOOGL,Communication Services,Internet Content & Information,3971928031232,1.086
GPC,Consumer Cyclical,Auto Parts,19145779200,0.753
GPN,Industrials,Specialty Business Services,21059682304,0.798
GRMN,Technology,Scientific & Technical Instruments,39686475776,1.013
GWW,Industrials,Industrial Distribution,50599817216,1.126
GS,Financial Services,Capital Markets,278164340736,1.322
HAL,Energy,Oil & Gas Equipment & Services,28945842176,0.787
HAS,Consumer Cyclical,Leisure,12445087744,0.543
HBAN,Financial Services,Banks - Regional,27322836992,0.966
HCA,Healthcare,Medical Care Facilities,110182858752,1.368
HD,Consumer Cyclical,Home Improvement Retail,382047420416,1.072
HLT,Consumer Cyclical,Lodging,70113607680,1.151
HOLX,Healthcare,Medical Instruments & Supplies,16754531328,0.697
HIG,Financial Services,Insurance - Diversified,35872153600,0.613
HII,Industrials,Aerospace & Defense,16425677824,0.354
HON,Industrials,Conglomerates,149235187712,0.942
HOOD,Financial Services,Capital Markets,96204218368,2.447
HPE,Technology,Communication Equipment,28091920384,1.333
HPQ,Technology,Computer Hardware,18161256448,1.22
HRL,Consumer Defensive,Packaged Foods,13532639232,0.324
HSIC,Healthcare,Medical Distribution,9363133440,0.884
HST,Real Estate,REIT - Hotel & Motel,13025980416,1.197
HUBB,Industrials,Electrical Equipment & Parts,25803370496,1.019
HSY,Consumer Defensive,Confectioners,38772514816,0.175
HUM,Healthcare,Healthcare Plans,32052772864,0.456
IBKR,Financial Services,Capital Markets,131881156608,1.24
HWM,Industrials,Aerospace & Defense,86493224960,1.292
IBM,Technology,Information Technology Services,273353965568,0.698
ICE,Financial Services,Financial Data & Stock Exchanges,98989121536,1.035
IDXX,Healthcare,Diagnostics & Research,55511257088,1.672
IEX,Industrials,Specialty Industrial Machinery,14701348864,0.995
INTC,Technology,Semiconductors,225124646912,1.354
INCY,Healthcare,Biotechnology,20022951936,0.82
IFF,Basic Materials,Specialty Chemicals,18767904768,1.056
INTU,Technology,Software - Application,157007855616,1.254
INVH,Real Estate,REIT - Residential,16668030976,0.83
IQV,Healthcare,Diagnostics & Research,40073293824,1.367
IP,Consumer Cyclical,Packaging & Containers,22726768640,1.06
